id,brand,category,productCategory,colorway,condition,minimumBid,gender,name,releaseDate,retailPrice,shoe,lowestAsk,lowestAskSize,salesThisPeriod,highestBid,highestBidSize,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,pricePremium,averageDeadstockPrice,salesLast72Hours,totalDollars,deadstockSoldRank,pricePremiumRank,averageDeadstockPriceRank,img
c0b6ed6b-7ae4-4775-b790-b8c542ebeb79,Jordan,Air Jordan Five,sneakers,White/Fire Red-Black,New,25,men,Fire Red (2013),2013-01-26 23:59:59,160,Jordan 5 Retro,212,11.5,4,270,8.5,72,385,147,0.104384,518,0.656,220,4,114003,66,98,99,"https://stockx.imgix.net/Air-Jordan-5-Retro-Fire-Red-2013.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
09e07ba3-93cf-4ae3-af72-fc863bdb7006,Jordan,Air Jordan Five,sneakers,White/Fire Red-Black,New,25,men,Fire Red Black Tongue (2013),2013-08-31 23:59:59,160,Jordan 5 Retro,204,12,4,235,8,83,306,150,0.108536,473,0.469,209,4,98773,7,1,51,"https://stockx.imgix.net/Air-Jordan-5-Retro-Fire-Red-Black-Tongue-2013-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1559767442"
68cc5725-b4ba-40ad-921c-6d5c9aa339b6,Jordan,Air Jordan Five,sneakers,Reflective Silver/Infrared 23-Black,New,25,men,Neymar,2016-06-03 23:59:59,200,Jordan 5 Retro Low,218,12,4,340,8.5,66,425,135,0.264445,317,0.16,249,4,79051,84,75,17,"https://stockx.imgix.net/Air-Jordan-5-Retro-Low-Neymar-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
b2cf40e5-5a99-4798-bc86-01d6a14364eb,Jordan,Air Jordan Five,sneakers,Sequoia/Metallic Gold-Vachetta Tan-Sequoia,New,25,men,Take Flight,2017-02-11 23:59:59,400,Jordan 5 Retro,201,10.5,4,250,14,63,330,115,0.046058,216,-0.5,214,4,46182,83,18,78,"https://stockx.imgix.net/Air-Jordan-5-Retro-Take-Flight-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
a498af06-fa9a-42bb-9c47-e34a57d53a1b,Jordan,Air Jordan Five,sneakers,Black/Gym Red-Metallic Hematite,New,25,men,Alternate 90,2016-01-30 23:59:59,175,Jordan 5 Retro Low,177,13.5,4,178,8.5,45,275,100,0.110143,190,0.2,176,4,33430,57,36,14,"https://stockx.imgix.net/Air-Jordan-5-Retro-Low-Alternate-90.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
358915c2-7b81-44d7-a6fe-2dc37dd373aa,Jordan,Air Jordan Five,sneakers,White/Infrared 23-Light Poison Green-Black,New,25,men,Poison Green,2015-06-06 23:59:59,190,Jordan 5 Retro,175,12,3,250,8,65,300,70,0.171622,394,-0.042,183,3,71985,72,64,83,"https://stockx.imgix.net/Air-Jordan-5-Retro-Poison-Green.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
21f974ec-6390-4900-98f0-21c804de3dd6,Jordan,Air Jordan Five,sneakers,Bordeaux/Bordeaux-Sail-Elemental Gold,New,25,men,Wine,2017-12-14 23:59:59,400,Jordan 5 Retro Premium,240,10.5,3,250,10.5,58,450,120,0.249777,312,-0.563,227,3,70864,28,37,83,"https://stockx.imgix.net/Air-Jordan-5-Retro-Premium-Wine-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1552671310"
104ba571-3fd2-46e3-b45c-6eafb48f1859,Jordan,Air Jordan Five,sneakers,Black/New Emerald-Grape Ice,New,25,men,Black Grape (2013),2013-06-15 23:59:59,160,Jordan 5 Retro,235,9,3,291,9.5,80,380,170,0.115762,311,0.656,260,3,81003,47,45,27,"https://stockx.imgix.net/Air-Jordan-5-Retro-Black-Grape-2013.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
6c5db321-dc60-43c3-8091-5c69a3fbdc61,Jordan,Air Jordan Five,sneakers,Black/Varsity Red-Metallic Silver,New,25,men,Black Metallic (2011),2011-08-20 23:59:59,150,Jordan 5 Retro,205,14,3,205,9,35,335,130,0.090929,164,0.333,225,3,36895,67,56,72,"https://stockx.imgix.net/Air-Jordan-5-Retro-Black-Metallic-Silver-2011-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1559156482"
ade70de2-0109-450c-946a-229521a0ab63,Jordan,Air Jordan Five,sneakers,Black/Infrared,New,25,men,3Lab5 Infrared,2013-12-31 23:59:59,225,Jordan 5 Retro,159,11,2,180,9,50,260,111,0.144076,205,-0.138,179,2,36750,85,62,22,"https://stockx.imgix.net/Air-Jordan-5-Retro-3Lab5-Infrared-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256"
